date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:01:40	69488/69488	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2007:50:52%20GMT	https://themesflat.co/html/cyfoniihtml/vision-mission.html	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/vision-mission.html	(from https://themesflat.co/html/cyfoniihtml/)
04:01:40	57464/57464	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2007:50:52%20GMT	https://themesflat.co/html/cyfoniihtml/help-center.html	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/help-center.html	(from https://themesflat.co/html/cyfoniihtml/)
04:01:40	57000/57000	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2007:50:52%20GMT	https://themesflat.co/html/cyfoniihtml/parti-asset.html	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/parti-asset.html	(from https://themesflat.co/html/cyfoniihtml/)
04:01:40	79886/79886	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2007:50:52%20GMT	https://themesflat.co/html/cyfoniihtml/advisor.html	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/advisor.html	(from https://themesflat.co/html/cyfoniihtml/)
04:01:40	59554/59554	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2007:50:52%20GMT	https://themesflat.co/html/cyfoniihtml/partner.html	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/partner.html	(from https://themesflat.co/html/cyfoniihtml/)
04:01:41	81392/81392	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2007:50:52%20GMT	https://themesflat.co/html/cyfoniihtml/about.html	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/about.html	(from https://themesflat.co/html/cyfoniihtml/)
04:01:41	46384/46384	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2007:50:52%20GMT	https://themesflat.co/html/cyfoniihtml/roadmap.html	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/roadmap.html	(from https://themesflat.co/html/cyfoniihtml/)
04:01:41	35083/35083	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2007:50:52%20GMT	https://themesflat.co/html/cyfoniihtml/team.html	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/team.html	(from https://themesflat.co/html/cyfoniihtml/)
04:01:41	44117/44117	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2007:50:52%20GMT	https://themesflat.co/html/cyfoniihtml/contact.html	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/contact.html	(from https://themesflat.co/html/cyfoniihtml/)
04:01:41	116441/116441	---M--	200	added ('OK')	image/png	etag:%221c6d9-5e9bef0d37040%22	https://themesflat.co/html/cyfoniihtml/assets/images/layouts/banner.png	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/assets/images/layouts/banner.png	(from https://themesflat.co/html/cyfoniihtml/)
04:01:42	5755/5755	---M--	200	added ('OK')	image/png	etag:%22167b-5e81f58cccbc0%22	https://themesflat.co/html/cyfoniihtml/assets/images/icon/icon-01.png	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/assets/images/icon/icon-01.png	(from https://themesflat.co/html/cyfoniihtml/)
